payer_id,vyne_payer_id,insurance_name,features,alt_ids
66043,DD_PUERTO_RICO,Delta Dental of Puerto Rico,"ELIGIBILITY
CLEARCOVERAGE",
67814,67814,Sun Life & Health Ins Co,ELIGIBILITY,"67814T2
67814T1
75238"
69019,STANDARD_INSURANCE,Standard Insurance Company of New York,ELIGIBILITY,93024
70123,70123,WV PEIA,ELIGIBILITY,
70408,SUN_LIFE_FINANCIAL,Sun Life Financial,ELIGIBILITY,70408T1
71005,FIRST_RELIANCE_STANDARD,First Reliance Standard Life - New York,ELIGIBILITY,13317
73288,HUMANA,Humana Dental,ELIGIBILITY,"61101
10841
73288T2
73288T1
73288T6
73288T5
73288T4
73288T3"
76031,FLORIDA_COMBINED_LIFE,Florida Combined Life (BCBS OF FL),"ELIGIBILITY
CLEARCOVERAGE","BFL01
CBFLU
TLZ31"
77045,MEDICAID_WASHINGTON,Medicaid of Washington,ELIGIBILITY,"MDWA1
CKWA1"
77777,DD_CALIFORNIA,Delta Dental of California,"ELIGIBILITY
CLEARCOVERAGE","TLW42
CX099
DD_CALIFORNIA"
78077,78077,Equitable,"ELIGIBILITY
CLEARCOVERAGE",
80314,UNICARE,UNICARE,ELIGIBILITY,"80314D
80314T2
80314T1"
80705,CIGNA_SELECT,Great West Healthcare,ELIGIBILITY,"63665
66893"
81039,81039,EBMS,ELIGIBILITY,
82029,DD_ID,Delta Dental of Idaho,ELIGIBILITY,
83470,BCBS_ARKANSAS,Blue Cross Blue Shield of Arkansas,ELIGIBILITY,"BLUE_ADVANTAGE
CBAR1
CBAR5
P-US
TLY26"
84056,DD_COLORADO,Delta Dental of Colorado,"ELIGIBILITY
CLEARCOVERAGE",DDPCO
84099,ANTHEM_BCBS_COLORADO,Blue Cross Blue Shield of Colorado,ELIGIBILITY,AD050
84101,ANTHEM_BCBS_NEVADA,Blue Cross Blue Shield of Nevada,ELIGIBILITY,AD265
84103,ANTHEM_BCBS_VIRGINIA,Blue Cross Blue Shield of Virginia (Trigon),ELIGIBILITY,"CB923
AD423"
84105,ANTHEM,Blue Cross Blue Shield (Anthem),ELIGIBILITY,"ANTHEM_BCBS_OHIO
ANTHEM_BCBS_KENTUCKY
ANTHEM_BCBS_INDIANA
AD332
AD160
AD130
84105T3
84105T2
84105T1
TLU91
TLU89
TLU90
P-NYF"
86027,DD_AZ,Delta Dental of Arizona,"ELIGIBILITY
CLEARCOVERAGE","DDAZ1
86207"
86098,86098,AVESIS,ELIGIBILITY,"CX091
TFQ19"
89009,STANDARD_INSURANCE_NEW_YORK,Standard Insurance Company of New York,ELIGIBILITY,13411
91062,DD_WASHINGTON,Delta Dental of Washington,"ELIGIBILITY
CLEARCOVERAGE","90162
06120"
93221,ASURIS,Asuris Northwest Health,ELIGIBILITY,
93524,93524,Advantage Dental,ELIGIBILITY,
93525,93525,Northwest Dental Services,ELIGIBILITY,
94276,DDIC,Delta Dental - DDIC,"ELIGIBILITY
CLEARCOVERAGE","01901
01033
DDIC
DDGA1"
